Formula 1
DPLL: Time=0.1918 seconds, Nodes expanded=423
WalkSAT Run 1: Time=0.6608 seconds, Max satisfied=165
WalkSAT Run 2: Time=0.6604 seconds, Max satisfied=166
WalkSAT Run 3: Time=0.6893 seconds, Max satisfied=165
WalkSAT Run 4: Time=0.6723 seconds, Max satisfied=165
WalkSAT Run 5: Time=0.6848 seconds, Max satisfied=166
WalkSAT Run 6: Time=0.6721 seconds, Max satisfied=166
WalkSAT Run 7: Time=0.6626 seconds, Max satisfied=164
WalkSAT Run 8: Time=0.6622 seconds, Max satisfied=165
WalkSAT Run 9: Time=0.6702 seconds, Max satisfied=166
WalkSAT Run 10: Time=0.6693 seconds, Max satisfied=166
Genetic Run 1: Time=2.0215 seconds, Flips=158
Genetic Run 2: Time=2.0150 seconds, Flips=162
Genetic Run 3: Time=2.0470 seconds, Flips=163
Genetic Run 4: Time=2.0313 seconds, Flips=159
Genetic Run 5: Time=1.9686 seconds, Flips=163
Genetic Run 6: Time=2.0413 seconds, Flips=159
Genetic Run 7: Time=2.0264 seconds, Flips=158
Genetic Run 8: Time=2.0263 seconds, Flips=161
Genetic Run 9: Time=2.0820 seconds, Flips=160
Genetic Run 10: Time=2.0702 seconds, Flips=158

Formula 21
DPLL: Time=0.0992 seconds, Nodes expanded=278
WalkSAT Run 1: Time=0.6939 seconds, Max satisfied=164
WalkSAT Run 2: Time=0.6933 seconds, Max satisfied=164
WalkSAT Run 3: Time=0.6883 seconds, Max satisfied=164
WalkSAT Run 4: Time=0.6971 seconds, Max satisfied=164
WalkSAT Run 5: Time=0.7172 seconds, Max satisfied=164
WalkSAT Run 6: Time=0.7038 seconds, Max satisfied=164
WalkSAT Run 7: Time=0.6913 seconds, Max satisfied=164
WalkSAT Run 8: Time=0.6851 seconds, Max satisfied=164
WalkSAT Run 9: Time=0.6821 seconds, Max satisfied=164
WalkSAT Run 10: Time=0.7037 seconds, Max satisfied=164
Genetic Run 1: Time=1.9773 seconds, Flips=162
Genetic Run 2: Time=1.9300 seconds, Flips=161
Genetic Run 3: Time=2.0390 seconds, Flips=160
Genetic Run 4: Time=1.9597 seconds, Flips=161
Genetic Run 5: Time=1.9978 seconds, Flips=161
Genetic Run 6: Time=1.9501 seconds, Flips=163
Genetic Run 7: Time=2.0066 seconds, Flips=162
Genetic Run 8: Time=2.0666 seconds, Flips=160
Genetic Run 9: Time=2.0041 seconds, Flips=161
Genetic Run 10: Time=1.9670 seconds, Flips=162

Formula 22
DPLL: Time=0.0449 seconds, Nodes expanded=97
WalkSAT Run 1: Time=0.6709 seconds, Max satisfied=162
WalkSAT Run 2: Time=0.6725 seconds, Max satisfied=162
WalkSAT Run 3: Time=0.6898 seconds, Max satisfied=163
WalkSAT Run 4: Time=0.6549 seconds, Max satisfied=163
WalkSAT Run 5: Time=0.6556 seconds, Max satisfied=164
WalkSAT Run 6: Time=0.6711 seconds, Max satisfied=163
WalkSAT Run 7: Time=0.6692 seconds, Max satisfied=163
WalkSAT Run 8: Time=0.6647 seconds, Max satisfied=164
WalkSAT Run 9: Time=0.6665 seconds, Max satisfied=163
WalkSAT Run 10: Time=0.6645 seconds, Max satisfied=163
Genetic Run 1: Time=2.0419 seconds, Flips=158
Genetic Run 2: Time=2.0378 seconds, Flips=161
Genetic Run 3: Time=1.9577 seconds, Flips=158
Genetic Run 4: Time=1.9370 seconds, Flips=161
Genetic Run 5: Time=1.9653 seconds, Flips=161
Genetic Run 6: Time=2.0609 seconds, Flips=158
Genetic Run 7: Time=2.1279 seconds, Flips=158
Genetic Run 8: Time=1.9517 seconds, Flips=159
Genetic Run 9: Time=2.0398 seconds, Flips=157
Genetic Run 10: Time=2.0517 seconds, Flips=160

Formula 23
DPLL: Time=0.0241 seconds, Nodes expanded=57
WalkSAT Run 1: Time=0.6847 seconds, Max satisfied=164
WalkSAT Run 2: Time=0.6618 seconds, Max satisfied=166
WalkSAT Run 3: Time=0.6852 seconds, Max satisfied=165
WalkSAT Run 4: Time=0.7005 seconds, Max satisfied=164
WalkSAT Run 5: Time=0.6836 seconds, Max satisfied=165
WalkSAT Run 6: Time=0.6617 seconds, Max satisfied=164
